simulation_id,treatment_id,intercrop,soilN,diffusion,lateral_enabled,influx_max,KM,NC_MIN,K2,coverage,total_root_biomass,total_uptake_μmol,total_uptake_mg,m3_uptake_cereal,uptake_per_gram_mg,uptake_per_gram_legume_mg,uptake_per_gram_cereal_mg,total_legume_uptake_mg,total_cereal_uptake_mg,final_soil_N_μmol,final_soil_N_mg,start_soil_N_per_layer
Treatment6_Rep6,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.69,9.886012323302374,73837.79510774402,1033.7291315084162,73837.79510774405,104.56482327781522,NaN,104.56482327781526,0.0,1033.7291315084167,66162.20489225598,926.2708684915837,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep7,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.69,9.895959132509022,73829.482310501,1033.612752347014,73829.48231050101,104.44796088046817,NaN,104.44796088046817,0.0,1033.6127523470143,66170.51768949899,926.3872476529858,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep8,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.71,9.881403104177068,75334.37643395094,1054.681270075313,75334.37643395095,106.7339586247097,NaN,106.73395862470971,0.0,1054.6812700753133,64665.62356604908,905.3187299246871,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep9,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.69,9.89534338245943,73823.6664189554,1033.5313298653757,73823.6664189554,104.4462319213118,NaN,104.4462319213118,0.0,1033.5313298653757,66176.3335810446,926.4686701346244,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep10,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.72,9.911844867019358,76097.96063014085,1065.3714488219719,76097.96063014085,107.4846774859124,NaN,107.48467748591241,0.0,1065.3714488219719,63902.03936985917,894.6285511780285,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep11,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.72,9.908459563927021,76096.72087408991,1065.3540922372588,76096.72087408991,107.5196487772744,NaN,107.5196487772744,0.0,1065.3540922372588,63903.2791259101,894.6459077627414,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep12,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.72,9.9162523229427,76128.18909632239,1065.7946473485133,76128.18909632239,107.47958126102152,NaN,107.47958126102155,0.0,1065.7946473485133,63871.81090367761,894.2053526514866,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep13,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.72,9.911810761080833,76084.38502794527,1065.181390391234,76084.38502794529,107.46587238869775,NaN,107.46587238869775,0.0,1065.1813903912341,63915.614972054704,894.8186096087659,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep14,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.69,9.906978480301735,73851.63203291508,1033.922848460811,73851.63203291506,104.36308613333347,NaN,104.36308613333341,0.0,1033.9228484608109,66148.36796708494,926.0771515391891,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment6_Rep15,6,false,140.0,0.00018,false,250.0,50,0.01,1.46,0.72,9.887986122267217,76113.20079832958,1065.584811176614,76113.20079832956,107.76560545296216,NaN,107.7656054529621,0.0,1065.5848111766138,63886.79920167042,894.415188823386,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
