treatment_id,soilN,replicate,timestep,legume_root,cereal_root,no_root
1,20.0,3,27,0.0,13766.354472143274,0.0
1,20.0,3,28,0.0,13958.021445325368,0.0
1,20.0,3,29,0.0,14138.958213371418,0.0
1,20.0,3,30,0.0,14309.91908214085,0.0
1,20.0,3,31,0.0,14471.604434013689,0.0
1,20.0,3,32,0.0,14624.663932430529,0.0
1,20.0,3,33,0.0,14769.699680516867,0.0
1,20.0,3,34,0.0,14907.269302771809,0.0
1,20.0,3,35,0.0,15037.888925962247,0.0
1,20.0,3,36,0.0,15162.036041548914,0.0
1,20.0,3,37,0.0,15280.152237228764,0.0
1,20.0,3,38,0.0,15392.645789579537,0.0
1,20.0,3,39,0.0,15499.89411341986,0.0
1,20.0,3,40,0.0,15602.246066439322,0.0
1,20.0,4,1,0.0,995.9771345677286,0.0
1,20.0,4,2,0.0,1939.322122387593,0.0
1,20.0,4,3,0.0,2831.7728039803296,0.0
1,20.0,4,4,0.0,3675.1258814168255,0.0
1,20.0,4,5,0.0,4471.22886791456,0.0
1,20.0,4,6,0.0,5221.970765138787,0.0
1,20.0,4,7,0.0,5929.2717235290675,0.0
1,20.0,4,8,0.0,6595.071980779527,0.0
1,20.0,4,9,0.0,7221.320396856117,0.0
1,20.0,4,10,0.0,7809.962909399244,0.0
1,20.0,4,11,0.0,8362.931221436536,0.0
1,20.0,4,12,0.0,8882.132005926042,0.0
1,20.0,4,13,0.0,9369.436871857026,0.0
1,20.0,4,14,0.0,9826.673288287793,0.0
1,20.0,4,15,0.0,10255.616609888833,0.0
1,20.0,4,16,0.0,10657.983294185764,0.0
1,20.0,4,17,0.0,11035.425350117173,0.0
1,20.0,4,18,0.0,11389.526012325156,0.0
1,20.0,4,19,0.0,11721.796597504914,0.0
1,20.0,4,20,0.0,12033.674469035266,0.0
1,20.0,4,21,0.0,12326.52201413828,0.0
1,20.0,4,22,0.0,12601.62652353721,0.0
1,20.0,4,23,0.0,12860.200856155137,0.0
1,20.0,4,24,0.0,13103.384769741511,0.0
1,20.0,4,25,0.0,13332.246801255027,0.0
1,20.0,4,26,0.0,13547.786587210343,0.0
1,20.0,4,27,0.0,13750.9375229493,0.0
1,20.0,4,28,0.0,13942.569670001692,0.0
1,20.0,4,29,0.0,14123.492831595762,0.0
1,20.0,4,30,0.0,14294.459727368117,0.0
1,20.0,4,31,0.0,14456.169208963858,0.0
1,20.0,4,32,0.0,14609.26946820196,0.0
1,20.0,4,33,0.0,14754.361198613036,0.0
1,20.0,4,34,0.0,14892.00067933112,0.0
